tên,giá,số lõi,xung cơ bản,xung boost,kiến trúc,tdp,đồ họa,socket,image_url
Intel Core i7-10700K Avengers Collector's Edition,17784000,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,LGA 1200,assets/images/cpu/cpu_intel_core_i7_10700k_avengers_collector_s_edition.png
Intel Core i3-10320,2880000,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,LGA 1200,assets/images/cpu/cpu_intel_core_i3_10320.png
Intel Xeon E3-1245 V6,2880000,4,3.7,4.1,Kaby Lake,73,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e3_1245_v6.png
Intel Xeon E-2286G,15062640,6,4.0,4.9,Coffee Lake Refresh,95,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e_2286g.png
AMD A6-7400K,2159520,2,3.5,3.9,Steamroller,65,Radeon R5 (on die),FM2+,assets/images/cpu/cpu_amd_a6_7400k.png
Intel Core i3-9300,5763120,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630,LGA 1151,assets/images/cpu/cpu_intel_core_i3_9300.png
Intel Core i5-3340,6672480,4,3.1,3.3,Ivy Bridge,77,Intel HD Graphics 2500,LGA 1155,assets/images/cpu/cpu_intel_core_i5_3340.png
Intel Xeon E3-1285 V6,23758800,4,4.1,4.5,Kaby Lake,79,Intel HD Graphics 630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e3_1285_v6.png
Intel Core i5-6600T,4318800,4,2.7,3.5,Skylake,35,Intel HD Graphics 530,LGA 1151,assets/images/cpu/cpu_intel_core_i5_6600t.png
Intel Xeon E-2176G,13998960,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e_2176g.png
AMD A10-9700E,3185040,4,3.0,3.5,Excavator,35,Radeon R7 (on-die),AM4,assets/images/cpu/cpu_amd_a10_9700e.png
Intel Xeon E-2274G,26374800,4,4.0,4.9,Coffee Lake Refresh,83,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e_2274g.png
Intel Xeon E3-1265L V3,9574800,4,2.5,3.7,Haswell,45,Intel HD Graphics,LGA 2011,assets/images/cpu/cpu_intel_xeon_e3_1265l_v3.png
Intel Core i5-3330S,3598560,4,2.7,3.2,Ivy Bridge,65,Intel HD Graphics 2500,LGA 1155,assets/images/cpu/cpu_intel_core_i5_3330s.png
Intel Xeon E-2174G,15598800,4,3.8,4.7,Coffee Lake,71,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e_2174g.png
AMD A4-6300B,1198800,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,AM3+,assets/images/cpu/cpu_amd_a4_6300b.png
Intel Xeon E-2124G,6503760,4,3.4,4.5,Coffee Lake,71,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e_2124g.png
Intel Core i5-7600T,5518800,4,2.8,3.7,Kaby Lake,35,Intel HD Graphics 630,LGA 1151,assets/images/cpu/cpu_intel_core_i5_7600t.png
Intel Xeon E3-1275 V6,12106560,4,3.8,4.2,Kaby Lake,73,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e3_1275_v6.png
AMD Pro A10-7850B,3552480,4,3.7,4.0,Steamroller,95,Radeon R7 (on-die),FM2+,assets/images/cpu/cpu_amd_pro_a10_7850b.png
Intel Xeon E3-1225 V6,8526960,4,3.3,3.7,Kaby Lake,73,Intel HD Graphics P630,LGA 2011,assets/images/cpu/cpu_intel_xeon_e3_1225_v6.png
