tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp,interface,image_url
MSI GeForce RTX 5070 INSPIRE 3X 12GB GDDR7 Gold / Black,13199760,GeForce RTX 5070,12.0,2160.0,2527.0,GOLD,288.0,250.0,PCIe x16,assets/images/gpu/gpu_msi_geforce_rtx_5070_inspire_3x_12gb_gddr7_gold_black.png
MSI VENTUS 2X OC GeForce RTX 5070 12GB GDDR7,13199760,GeForce RTX 5070,12.0,2325.0,2542.0,GREY,236.0,250.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_ventus_2x_oc_geforce_rtx_5070_12gb_gddr7.png
MSI GeForce RTX 5070 12G GAMING TRIO White,13199760,GeForce RTX 5070,12.0,2325.0,2527.0,WHITE,338.0,250.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5070_12g_gaming_trio_white.png
MSI GeForce RTX 5070 12G VANGUARD SOC GDDR7,13199760,GeForce RTX 5070,12.0,2325.0,2640.0,BLACK,337.0,250.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5070_12g_vanguard_soc_gddr7.png
MSI GeForce RTX 4070 Ti SUPER SLIM STALKER 2 EDITION 16GB GDDR6X Green / Orange,26831760,GeForce RTX 4070 Ti SUPER,16.0,2340.0,2625.0,GREEN,307.0,285.0,PCIe x16,assets/images/gpu/gpu_msi_geforce_rtx_4070_ti_super_slim_stalker_2_edition_16gb_gddr6x_green_orange.png
MSI GeForce RTX 4070 Ti SUPER VENTUS 3X 16GB GDDR6X Silver / Black,26831760,GeForce RTX 4070 Ti SUPER,16.0,2340.0,2625.0,GREY,308.0,285.0,PCIe x16,assets/images/gpu/gpu_msi_geforce_rtx_4070_ti_super_ventus_3x_16gb_gddr6x_silver_black.png
KFA2 GeForce RTX 4070 Ti SUPER EX Gamer 16GB GDDR6X White,26831760,GeForce RTX 4070 Ti SUPER,16.0,2340.0,2655.0,WHITE,323.0,285.0,PCIe x16,assets/images/gpu/gpu_kfa2_geforce_rtx_4070_ti_super_ex_gamer_16gb_gddr6x_white.png
Gigabyte WINDFORCE OC GeForce RTX 4070 Ti SUPER 16GB GDDR6X Black,26831760,GeForce RTX 4070 Ti SUPER,16.0,2340.0,2625.0,BLACK,261.0,285.0,PCIe x16,assets/images/gpu/gpu_gigabyte_windforce_oc_geforce_rtx_4070_ti_super_16gb_gddr6x_black.png
MSI GeForce RTX 5060 Ti INSPIRE 2X OC 8GB GDDR7 Gold / Black,9119760,GeForce RTX 5060 Ti,8.0,2407.0,2632.0,GOLD,204.0,180.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_geforce_rtx_5060_ti_inspire_2x_oc_8gb_gddr7_gold_black.png
MSI VENTUS 3X OC GeForce RTX 5060 Ti 8GB GDDR7 Silver / Black,9119760,GeForce RTX 5060 Ti,8.0,2410.0,2617.0,GREY,306.0,180.0,PCIe x16,assets/images/gpu/gpu_msi_ventus_3x_oc_geforce_rtx_5060_ti_8gb_gddr7_silver_black.png
MSI GeForce RTX 5060 Ti 16G GAMING TRIO GDDR7,11519760,GeForce RTX 5060 Ti,16.0,2407.0,2572.0,BLACK,300.0,180.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_geforce_rtx_5060_ti_16g_gaming_trio_gddr7.png
MSI GeForce RTX 5060 Ti 8G GAMING TRIO OC WHITE GDDR7,9119760,GeForce RTX 5060 Ti,8.0,2407.0,2647.0,WHITE,300.0,180.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_geforce_rtx_5060_ti_8g_gaming_trio_oc_white_gddr7.png
Colorful NB-V GeForce RTX 2060 6GB GDDR6 Red / Black,7680000,GeForce RTX 2060,6.0,1365.0,1680.0,RED,222.0,160.0,PCIe x16,assets/images/gpu/gpu_colorful_nb_v_geforce_rtx_2060_6gb_gddr6_red_black.png
MSI GeForce RTX 2060 GAMING Z 6G GDDR6,7680000,GeForce RTX 2060,6.0,1365.0,1830.0,RGB,247.0,190.0,PCIe 3.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_2060_gaming_z_6g_gddr6.png
Gigabyte GAMING OC PRO GeForce RTX 2060 6GB GDDR6 White / Black,7680000,GeForce RTX 2060,6.0,1680.0,1830.0,WHITE,280.0,160.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gaming_oc_pro_geforce_rtx_2060_6gb_gddr6_white_black.png
Zotac GAMING Twin Fan GeForce RTX 2060 12GB GDDR6 Gray,10079760,GeForce RTX 2060,12.0,1470.0,1650.0,GREY,210.0,184.0,PCIe x16,assets/images/gpu/gpu_zotac_gaming_twin_fan_geforce_rtx_2060_12gb_gddr6_gray.png
MSI GeForce RTX™ 4070 SUPER 12G VENTUS 2X OC GDDR6X,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,GREY,242.0,220.0,PCIe 4.0 x16,
Inno3D Twin X2 OC GeForce RTX 4070 SUPER 12GB GDDR6X White / Silver,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,WHITE,250.0,220.0,PCIe x16,assets/images/gpu/gpu_inno3d_twin_x2_oc_geforce_rtx_4070_super_12gb_gddr6x_white_silver.png
Inno3D GeForce RTX 4070 SUPER Twin X2 OC 12GB GDDR6X Black / Silver,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,BLACK,250.0,220.0,PCIe x16,assets/images/gpu/gpu_inno3d_geforce_rtx_4070_super_twin_x2_oc_12gb_gddr6x_black_silver.png
Palit GeForce GTX 1080 GameRock 8GB GDDR5X Gray / Blue,11976000,GeForce GTX 1080,8.0,1645.0,1784.0,GREY,285.0,180.0,PCIe x16,assets/images/gpu/gpu_palit_geforce_gtx_1080_gamerock_8gb_gddr5x_gray_blue.png
GALAX EX OC SNPR GeForce GTX 1080 8GB GDDR5X White,11976000,GeForce GTX 1080,8.0,1657.0,1797.0,WHITE,296.0,180.0,PCIe x16,assets/images/gpu/gpu_galax_ex_oc_snpr_geforce_gtx_1080_8gb_gddr5x_white.png
Gigabyte WINDFORCE OC GeForce GTX 1080 8GB GDDR5X Black / Orange,11976000,GeForce GTX 1080,8.0,1657.0,1797.0,BLACK,280.0,180.0,PCIe x16,assets/images/gpu/gpu_gigabyte_windforce_oc_geforce_gtx_1080_8gb_gddr5x_black_orange.png
MSI Gaming X NV Edition GeForce RTX 4060 8GB GDDR6 Green / Black,10799760,GeForce RTX 4060,8.0,1830.0,2610.0,GREEN,247.0,115.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_x_nv_edition_geforce_rtx_4060_8gb_gddr6_green_black.png
Gigabyte GeForce RTX 4060 AERO OC 8G GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2550.0,WHITE,281.0,115.0,PCIe 4.0 x8,assets/images/gpu/gpu_gigabyte_geforce_rtx_4060_aero_oc_8g_gddr6.png
Gigabyte WINDFORCE OC GeForce RTX 4060 8G GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2475.0,BLACK,192.0,115.0,PCIe 4.0 x8,assets/images/gpu/gpu_gigabyte_windforce_oc_geforce_rtx_4060_8g_gddr6.png
Gigabyte Vision OC GeForce RTX 3070 8GB GDDR6 Silver,16752000,GeForce RTX 3070,8.0,1500.0,1815.0,GREY,286.0,220.0,PCIe x16,assets/images/gpu/gpu_gigabyte_vision_oc_geforce_rtx_3070_8gb_gddr6_silver.png
ZOTAC GAMING GeForce RTX 3070 Twin Edge OC White Edition LHR 8GB GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1755.0,WHITE,231.9,220.0,PCIe 4.0 x16,assets/images/gpu/gpu_zotac_gaming_geforce_rtx_3070_twin_edge_oc_white_edition_lhr_8gb_gddr6.png
Gigabyte GeForce RTX 3070 GAMING OC 8G GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1815.0,BLACK,286.0,220.0,PCIe 4.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_3070_gaming_oc_8g_gddr6.png
Asus ROG STRIX OC EVA-02 GeForce RTX 4090 24GB GDDR6X Red / Black,71903760,GeForce RTX 4090,24.0,2235.0,2640.0,RED,358.0,450.0,PCIe x16,assets/images/gpu/gpu_asus_rog_strix_oc_eva_02_geforce_rtx_4090_24gb_gddr6x_red_black.png
MSI VENTUS 3X E GeForce RTX 4090 24GB GDDR6X Silver / Black,71903760,GeForce RTX 4090,24.0,2235.0,2535.0,GREY,322.0,450.0,PCIe x16,assets/images/gpu/gpu_msi_ventus_3x_e_geforce_rtx_4090_24gb_gddr6x_silver_black.png
Gigabyte GeForce RTX 4090 AERO OC 24G GDDR6X,71903760,GeForce RTX 4090,24.0,2235.0,2535.0,WHITE,342.0,450.0,PCIe 4.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_4090_aero_oc_24g_gddr6x.png
Gigabyte GAMING OC GeForce RTX 4090 24 GB,71903760,GeForce RTX 4090,24.0,2235.0,2535.0,BLACK,340.0,450.0,PCIe 4.0 x16,assets/images/gpu/gpu_gigabyte_gaming_oc_geforce_rtx_4090_24_gb.png
Sapphire NITRO+ Radeon RX 9070 XT 16GB GDDR6,17999760,Radeon RX 9070 XT,16.0,1660.0,3060.0,BROWN,331.0,330.0,PCIe 5.0 x16,assets/images/gpu/gpu_sapphire_nitro_radeon_rx_9070_xt_16gb_gddr6.png
Yeston Sakura Atlantis Radeon RX 9070 XT 16GB GDDR6 Blue / Pink,17999760,Radeon RX 9070 XT,16.0,2400.0,3060.0,BLUE,332.0,304.0,PCIe x16,assets/images/gpu/gpu_yeston_sakura_atlantis_radeon_rx_9070_xt_16gb_gddr6_blue_pink.png
Sapphire PURE Radeon RX 9070 XT 16GB OC GDDR6,17999760,Radeon RX 9070 XT,16.0,1660.0,3010.0,WHITE,320.0,317.0,PCIe 5.0 x16,assets/images/gpu/gpu_sapphire_pure_radeon_rx_9070_xt_16gb_oc_gddr6.png
PowerColor Red Devil Limited Edition OC Radeon RX 9070 XT 16GB GDDR6 Black,17999760,Radeon RX 9070 XT,16.0,2460.0,3060.0,BLACK,340.0,304.0,PCIe x16,assets/images/gpu/gpu_powercolor_red_devil_limited_edition_oc_radeon_rx_9070_xt_16gb_gddr6_black.png
Gigabyte GAMING OC GeForce RTX 2070 8GB GDDR6 White / Black,16440000,GeForce RTX 2070,8.0,1620.0,1740.0,WHITE,280.0,185.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gaming_oc_geforce_rtx_2070_8gb_gddr6_white_black.png
MSI VENTUS GP GeForce RTX 2070 8GB GDDR6 Silver / Black,16440000,GeForce RTX 2070,8.0,1410.0,1620.0,GREY,232.0,185.0,PCIe x16,assets/images/gpu/gpu_msi_ventus_gp_geforce_rtx_2070_8gb_gddr6_silver_black.png
Gigabyte WINDFORCE 2X GeForce RTX 2070 8GB GDDR6 Black,16440000,GeForce RTX 2070,8.0,1410.0,1620.0,BLACK,265.0,185.0,PCIe x16,assets/images/gpu/gpu_gigabyte_windforce_2x_geforce_rtx_2070_8gb_gddr6_black.png
MSI EVOKE Gold Radeon RX 5700 XT 8GB GDDR6,14280000,Radeon RX 5700 XT,8.0,1630.0,1905.0,GOLD,254.0,225.0,PCIe x16,assets/images/gpu/gpu_msi_evoke_gold_radeon_rx_5700_xt_8gb_gddr6.png
MSI Silver / Black Radeon RX 5700 XT 8GB GDDR6 Silver / Black,14280000,Radeon RX 5700 XT,8.0,1605.0,1905.0,GREY,270.0,225.0,PCIe x16,assets/images/gpu/gpu_msi_silver_black_radeon_rx_5700_xt_8gb_gddr6_silver_black.png
PowerColor AXRX 5700XT 8GBD6-3DH Radeon RX 5700 XT 8GB GDDR6 Black,14280000,Radeon RX 5700 XT,8.0,1605.0,1905.0,BLACK,230.0,225.0,PCIe x16,assets/images/gpu/gpu_powercolor_axrx_5700xt_8gbd6_3dh_radeon_rx_5700_xt_8gb_gddr6_black.png
Asus Noctua OC GeForce RTX 4080 16GB GDDR6X Brown / Beige,44399760,GeForce RTX 4080,16.0,2205.0,2625.0,BROWN,310.0,320.0,PCIe x16,assets/images/gpu/gpu_asus_noctua_oc_geforce_rtx_4080_16gb_gddr6x_brown_beige.png
MSI VENTUS 3X E GeForce RTX 4080 16GB GDDR6X Silver / Black,44399760,GeForce RTX 4080,16.0,2205.0,2520.0,GREY,322.0,320.0,PCIe x16,assets/images/gpu/gpu_msi_ventus_3x_e_geforce_rtx_4080_16gb_gddr6x_silver_black.png
MSI GAMING X TRIO GeForce RTX 4080 16GB GDDR6X White,44399760,GeForce RTX 4080,16.0,2205.0,2610.0,WHITE,337.0,320.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_x_trio_geforce_rtx_4080_16gb_gddr6x_white.png
MSI GAMING TRIO GeForce RTX 4080 16GB GDDR6X Black,44399760,GeForce RTX 4080,16.0,2205.0,2520.0,BLACK,337.0,320.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_trio_geforce_rtx_4080_16gb_gddr6x_black.png
ASUS ROG Astral GeForce RTX 5090 Dhahab OC Edition 32GB GDDR7,80639760,GeForce RTX 5090,32.0,2017.0,2580.0,GOLD,357.6,575.0,PCIe 5.0 x16,assets/images/gpu/gpu_asus_rog_astral_geforce_rtx_5090_dhahab_oc_edition_32gb_gddr7.png
MSI GeForce RTX 5090 32G LIGHTNING Z,80639760,GeForce RTX 5090,32.0,2017.0,2730.0,RGB,260.0,1000.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5090_32g_lightning_z.png
MSI GeForce RTX 5090 32G VANGUARD SOC GDDR7,80639760,GeForce RTX 5090,32.0,2017.0,2512.0,GREY,357.0,575.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5090_32g_vanguard_soc_gddr7.png
ROG Astral GeForce RTX 5090 32GB GDDR7 WHITE OC Edition,80639760,GeForce RTX 5090,32.0,2017.0,2580.0,WHITE,357.6,575.0,PCIe 5.0 x16,assets/images/gpu/gpu_rog_astral_geforce_rtx_5090_32gb_gddr7_white_oc_edition.png
Asus Noctua OC GeForce RTX 4080 SUPER 16GB GDDR6X Brown / Black,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2640.0,BROWN,310.0,320.0,PCIe x16,assets/images/gpu/gpu_asus_noctua_oc_geforce_rtx_4080_super_16gb_gddr6x_brown_black.png
MSI SUPRIM X GeForce RTX 4080 SUPER 16GB GDDR6X Silver / Black,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2655.0,GREY,336.0,320.0,PCIe x16,assets/images/gpu/gpu_msi_suprim_x_geforce_rtx_4080_super_16gb_gddr6x_silver_black.png
Gigabyte AORUS XTREME ICE GeForce RTX 4080 SUPER 16GB GDDR6X White / Gold,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2700.0,WHITE,357.0,320.0,PCIe x16,assets/images/gpu/gpu_gigabyte_aorus_xtreme_ice_geforce_rtx_4080_super_16gb_gddr6x_white_gold.png
Inno3D iChill X3 GeForce RTX 4080 SUPER 16GB GDDR6X Black / Silver,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2610.0,BLACK,334.0,320.0,PCIe x16,assets/images/gpu/gpu_inno3d_ichill_x3_geforce_rtx_4080_super_16gb_gddr6x_black_silver.png
Sapphire NITRO+ Radeon RX 580 8GB GDDR5 Blue / White,3839760,Radeon RX 580,8.0,1257.0,1430.0,BLUE,260.0,250.0,PCIe x16,assets/images/gpu/gpu_sapphire_nitro_radeon_rx_580_8gb_gddr5_blue_white.png
MSI ARMOR X Radeon RX 580 8GB GDDR5 Silver / Black,3839760,Radeon RX 580,8.0,1257.0,1366.0,GREY,270.0,185.0,PCIe x16,assets/images/gpu/gpu_msi_armor_x_radeon_rx_580_8gb_gddr5_silver_black.png
MSI ARMOR MK2 OC Radeon RX 580 8GB GDDR5 Red / Black,3839760,Radeon RX 580,8.0,1340.0,1380.0,RED,270.0,185.0,PCIe x16,assets/images/gpu/gpu_msi_armor_mk2_oc_radeon_rx_580_8gb_gddr5_red_black.png
MSI Radeon RX 580 GAMING X 8GB GDDR5 Black / Red,3839760,Radeon RX 580,8.0,1257.0,1393.0,BLACK,276.0,185.0,PCIe x16,assets/images/gpu/gpu_msi_radeon_rx_580_gaming_x_8gb_gddr5_black_red.png
Gigabyte GeForce RTX 3070 Ti VISION OC 8G GDDR6X,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1830.0,WHITE,320.0,290.0,PCIe 4.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_3070_ti_vision_oc_8g_gddr6x.png
Palit GameRock OC GeForce RTX 3070 Ti 8GB GDDR6X Silver,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1845.0,GREY,304.0,330.0,PCIe x16,assets/images/gpu/gpu_palit_gamerock_oc_geforce_rtx_3070_ti_8gb_gddr6x_silver.png
Inno3D iChill X4 GeForce RTX 3070 Ti 8GB GDDR6X Black / Silver,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1830.0,BLACK,300.0,290.0,PCIe x16,assets/images/gpu/gpu_inno3d_ichill_x4_geforce_rtx_3070_ti_8gb_gddr6x_black_silver.png
NVIDIA Founders Edition GeForce RTX 2070 SUPER 8GB GDDR6,16536000,GeForce RTX 2070 SUPER,8.0,1605.0,1770.0,GREY,267.0,215.0,PCIe x16,assets/images/gpu/gpu_nvidia_founders_edition_geforce_rtx_2070_super_8gb_gddr6.png
GIGABYTE GeForce RTX 2070 SUPER GAMING OC WHITE 8G GDDR6,16536000,GeForce RTX 2070 SUPER,8.0,1605.0,1815.0,WHITE,286.5,215.0,PCIe 3.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_2070_super_gaming_oc_white_8g_gddr6.png
GIGABYTE GeForce RTX 2070 SUPER WINDFORCE OC 3X 8G GDDR6,16536000,GeForce RTX 2070 SUPER,8.0,1605.0,1785.0,BLACK,286.0,215.0,PCIe 3.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_2070_super_windforce_oc_3x_8g_gddr6.png
Colorful iGame Advanced OC-V GeForce RTX 3080 Ti 12GB GDDR6X Silver / Red,22799760,GeForce RTX 3080 Ti,12.0,1365.0,1695.0,RED,316.0,370.0,PCIe x16,assets/images/gpu/gpu_colorful_igame_advanced_oc_v_geforce_rtx_3080_ti_12gb_gddr6x_silver_red.png
Gigabyte Vision OC GeForce RTX 3080 Ti 12GB GDDR6X White / Silver,22799760,GeForce RTX 3080 Ti,12.0,1365.0,1770.0,WHITE,320.0,350.0,PCIe x16,assets/images/gpu/gpu_gigabyte_vision_oc_geforce_rtx_3080_ti_12gb_gddr6x_white_silver.png
NVIDIA Founders Edition GeForce RTX 3080 Ti 12GB GDDR6X,22799760,GeForce RTX 3080 Ti,12.0,1370.0,1670.0,GREY,285.0,350.0,PCIe 4.0 x16,assets/images/gpu/gpu_nvidia_founders_edition_geforce_rtx_3080_ti_12gb_gddr6x.png
Gigabyte EAGLE GeForce RTX 3080 Ti 12GB GDDR6X Black,22799760,GeForce RTX 3080 Ti,12.0,1365.0,1770.0,BLACK,320.0,350.0,PCIe x16,assets/images/gpu/gpu_gigabyte_eagle_geforce_rtx_3080_ti_12gb_gddr6x_black.png
Gigabyte GeForce RTX 2060 SUPER GAMING OC 3X WHITE 8GB GDDR6 White / Black,13800000,GeForce RTX 2060 SUPER,8.0,1650.0,1815.0,WHITE,280.0,175.0,PCIe x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_2060_super_gaming_oc_3x_white_8gb_gddr6_white_black.png
NVIDIA GeForce RTX 2060 SUPER Founders Edition 8GB GDDR6,13800000,GeForce RTX 2060 SUPER,8.0,1470.0,1650.0,GREY,229.0,175.0,PCIe 3.0 x16,assets/images/gpu/gpu_nvidia_geforce_rtx_2060_super_founders_edition_8gb_gddr6.png
KFA2 EX GeForce RTX 2060 SUPER 8GB GDDR6 Black,13800000,GeForce RTX 2060 SUPER,8.0,1470.0,1665.0,BLACK,295.0,175.0,PCIe x16,assets/images/gpu/gpu_kfa2_ex_geforce_rtx_2060_super_8gb_gddr6_black.png
Asus ROG STRIX OC EVA GeForce RTX 3090 24GB GDDR6X Purple / Green,36455760,GeForce RTX 3090,24.0,1395.0,1890.0,PURPLE,318.0,350.0,PCIe x16,assets/images/gpu/gpu_asus_rog_strix_oc_eva_geforce_rtx_3090_24gb_gddr6x_purple_green.png
MSI SUPRIM X GeForce RTX 3090 24GB GDDR6X Silver,36455760,GeForce RTX 3090,24.0,1395.0,1875.0,GREY,336.0,420.0,PCIe x16,assets/images/gpu/gpu_msi_suprim_x_geforce_rtx_3090_24gb_gddr6x_silver.png
GALAX HOF Limited Edition GeForce RTX 3090 24GB GDDR6X White,36455760,GeForce RTX 3090,24.0,1395.0,1860.0,WHITE,339.0,350.0,PCIe x16,assets/images/gpu/gpu_galax_hof_limited_edition_geforce_rtx_3090_24gb_gddr6x_white.png
Gigabyte AORUS XTREME WATERFORCE GeForce RTX 3090 24GB GDDR6X Black,36455760,GeForce RTX 3090,24.0,1395.0,1785.0,BLACK,252.0,350.0,PCIe x16,assets/images/gpu/gpu_gigabyte_aorus_xtreme_waterforce_geforce_rtx_3090_24gb_gddr6x_black.png
MSI GeForce RTX 4060 Ti VENTUS 3X OC 16GB GDDR6 Silver / Black,18620880,GeForce RTX 4060 Ti,16.0,2310.0,2625.0,GREY,308.0,165.0,PCIe x16,assets/images/gpu/gpu_msi_geforce_rtx_4060_ti_ventus_3x_oc_16gb_gddr6_silver_black.png
MSI GeForce RTX 4060 Ti GAMING X SLIM WHITE 16G GDDR6,18620880,GeForce RTX 4060 Ti,16.0,2310.0,2670.0,WHITE,307.0,165.0,PCIe 4.0 x8,assets/images/gpu/gpu_msi_geforce_rtx_4060_ti_gaming_x_slim_white_16g_gddr6.png
Inno3D Twin X2 GeForce RTX 4060 Ti 16GB GDDR6 Black / Silver,18620880,GeForce RTX 4060 Ti,16.0,2310.0,2535.0,BLACK,250.0,165.0,PCIe x16,assets/images/gpu/gpu_inno3d_twin_x2_geforce_rtx_4060_ti_16gb_gddr6_black_silver.png
MSI VENTUS 2X GeForce RTX 5050 8GB GDDR6 Silver / Black,5999760,GeForce RTX 5050,8.0,2317.0,2587.0,GREY,197.0,130.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_ventus_2x_geforce_rtx_5050_8gb_gddr6_silver_black.png
ZOTAC GAMING GeForce RTX 5050 Twin Edge OC White Edition 8GB GDDR6,5999760,GeForce RTX 5050,8.0,2317.0,2602.0,WHITE,220.5,130.0,PCIe 5.0 x8,assets/images/gpu/gpu_zotac_gaming_geforce_rtx_5050_twin_edge_oc_white_edition_8gb_gddr6.png
Inno3D Twin X2 OC GeForce RTX 5050 8GB GDDR6 Black,5999760,GeForce RTX 5050,8.0,2317.0,2602.0,BLACK,225.0,130.0,PCIe 5.0 x8,assets/images/gpu/gpu_inno3d_twin_x2_oc_geforce_rtx_5050_8gb_gddr6_black.png
MSI GAMING GeForce GTX 1050 Ti 4GB GDDR5 Red / Black,6335760,GeForce GTX 1050 Ti,4.0,1290.0,1493.0,RED,229.0,75.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_geforce_gtx_1050_ti_4gb_gddr5_red_black.png
Asus DUAL GeForce GTX 1050 Ti 4GB GDDR5 White / Blue,6335760,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,WHITE,212.0,75.0,PCIe x16,assets/images/gpu/gpu_asus_dual_geforce_gtx_1050_ti_4gb_gddr5_white_blue.png
Inno3D Compact GeForce GTX 1050 Ti 4GB GDDR5 Black / White,6335760,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,BLACK,145.0,75.0,PCIe x16,assets/images/gpu/gpu_inno3d_compact_geforce_gtx_1050_ti_4gb_gddr5_black_white.png
