tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
Gigabyte A520M H (rev. 1.x),2897687,AM4,Micro ATX,64,2,ĐEN,DDR4,SATA / PCIe 3.0 x4/x2,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_gigabyte_a520m_h_rev_1_x.png
Asus Z370 ROG Strix Z370-H Gaming DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z370_rog_strix_z370_h_gaming_ddr4_atx.png
Gigabyte B850 AI TOP AM5 DDR5 ATX,6129691,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b850_ai_top_am5_ddr5_atx.png
Asus Z890 MAX GAMING WIFI7 DDR5 ATX,8693587,LGA 1851,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z890_max_gaming_wifi7_ddr5_atx.png
Asus PRIME B650M-A II-CSM,4214937,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b650m_a_ii_csm.png
ASRock B360M ITX/ac DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b360m_itx_ac_ddr4_mini_itx.png
Gigabyte Z390 AORUS ULTRA ATX LGA1151,7007770,LGA 1151,ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z390_aorus_ultra_atx_lga1151.png
Asus B150 M-A/M.2 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b150_m_a_m_2_lga1151_ddr4_micro_atx.png
Supermicro Intel C602 X9SRA LGA2011 DDR3 ATX,19495300,LGA 2011,ATX,64,8,ĐEN / XANH LÁ,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16; PCIe 4.0 x8,assets/images/motherboard_motherboard_supermicro_intel_c602_x9sra_lga2011_ddr3_atx.png
Gigabyte AMD 970 GA-970A-DS3 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,XANH DƯƠNG / TRẮNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_amd_970_ga_970a_ds3_am3_ddr3_atx.png
Biostar Z590 MHP DDR4 Micro ATX,4465478,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_z590_mhp_ddr4_micro_atx.png
Asus Z270 TUF MARK 1 DDR4 ATX LGA1151,9707869,LGA 1151,ATX,64,4,XANH LÁ / NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z270_tuf_mark_1_ddr4_atx_lga1151.png
MSI Z270 GAMING M5 DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z270_gaming_m5_ddr4_atx.png
MSI Z790 MPG EDGE MONSTER HUNTER EDITION DDR5 ATX,6306466,LGA 1700,ATX,256,4,ĐEN / ĐỎ,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z790_mpg_edge_monster_hunter_edition_ddr5_atx.png
Asus Z270 MAXIMUS IX APEX LGA1151 DDR4 EATX,17124250,LGA 1151,EATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z270_maximus_ix_apex_lga1151_ddr4_eatx.png
ASUS TUF GAMING B850-BTF WIFI W,7376337,AM5,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b850_btf_wifi_w.png
Gigabyte B760 DS3H AX DDR5 ATX,6913982,LGA 1700,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16; PCIe 5.0 x16,assets/images/motherboard_motherboard_gigabyte_b760_ds3h_ax_ddr5_atx.png
MSI B650 GAMING PLUS WIFI DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b650_gaming_plus_wifi_ddr5_atx.png
MSI MAG Z890 TOMAHAWK WIFI,6322537,LGA 1851,ATX,256,4,ĐEN / VÀNG,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_mag_z890_tomahawk_wifi.png
ASRock 990FX Killer/3.1 DDR3 ATX,3361622,AM3+,ATX,64,4,ĐEN / ĐỎ,DDR3,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_990fx_killer_3_1_ddr3_atx.png
Gigabyte B360M HD3 DDR4 Micro ATX LGA1151,6849437,LGA 1151,Micro ATX,32,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b360m_hd3_ddr4_micro_atx_lga1151.png
MSI X299 TOMAHAWK ARCTIC DDR4 ATX,12882705,LGA 2066,ATX,256,8,TRẮNG / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_x299_tomahawk_arctic_ddr4_atx.png
ASRock Z890 Phantom Gaming Nova WiFi DDR5 ATX,5268737,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z890_phantom_gaming_nova_wifi_ddr5_atx.png
Asus A520 PRIME M-R-CSM AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_a520_prime_m_r_csm_am4_ddr4_micro_atx.png
MSI B460M MAG BAZOOKA DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b460m_mag_bazooka_ddr4_micro_atx.png
Asus B450 PRIME B450-PLUS AM4 DDR4 ATX,7093918,AM4,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b450_prime_b450_plus_am4_ddr4_atx.png
Gigabyte Z890 AORUS ELITE X ICE DDR5 ATX,5928942,LGA 1851,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z890_aorus_elite_x_ice_ddr5_atx.png
Gigabyte GA-H87-HD3 ATX LGA1150,10853613,LGA 1150,ATX,32,4,,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_ga_h87_hd3_atx_lga1150.png
ASRock A520 A520M-HDVP/DASH AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_a520_a520m_hdvp_dash_am4_ddr4_micro_atx.png
Asus Z270 ROG STRIX Z270G GAMING DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z270_rog_strix_z270g_gaming_ddr4_micro_atx.png
Asus H610 PRIME H610M-K LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610m_k_lga1700_ddr5_micro_atx.png
Asus 990FX TUF SABERTOOTH R3.0 DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN,DDR3,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_990fx_tuf_sabertooth_r3_0_ddr3_atx.png
ASRock Z390 STEEL LEGEND DDR4 ATX,11012210,LGA 1151,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z390_steel_legend_ddr4_atx.png
Asus H510 PRIME H510M-A R2.0 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h510_prime_h510m_a_r2_0_ddr4_micro_atx.png
Asus B250F STRIX GAMING DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b250f_strix_gaming_ddr4_atx.png
Asus PRIME B550M-A WI-FI DDR4 Micro ATX [Delete],3815546,AM4,Micro ATX,128,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b550m_a_wi_fi_ddr4_micro_atx_delete.png
