tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
Asus H87 PLUS LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / VÀNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h87_plus_lga1150_ddr3_atx.png
Gigabyte H370M DS3H DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h370m_ds3h_ddr4_micro_atx.png
Gigabyte H170 GA-H170-D3HP LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h170_ga_h170_d3hp_lga1151_ddr4_atx.png
MSI B850 PRO B850-VC WIFI6E AM5 DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b850_pro_b850_vc_wifi6e_am5_ddr5_atx.png
MSI AMD 970 970A GAMING PRO CARBON AM3+/AM3 DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XÁM,DDR3,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_amd_970_970a_gaming_pro_carbon_am3_am3_ddr3_atx.png
Asus H610 PRIME H610M-E LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610m_e_lga1700_ddr5_micro_atx.png
Gigabyte H81 GA-H81M-S2PV DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h81_ga_h81m_s2pv_ddr3_micro_atx.png
MSI MEG X870E GODLIKE X EDITION,21075737,AM5,EATX,256,4,ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s,PCIe 5.0 x16; PCIe 5.0 x8,assets/images/motherboard_motherboard_msi_meg_x870e_godlike_x_edition.png
ASRock Z270 Pro4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z270_pro4_lga1151_ddr4_atx.png
MSI C232 E3 KRAIT GAMING V5 LGA1151 DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_c232_e3_krait_gaming_v5_lga1151_ddr4_atx.png
Gigabyte P45 GA-EP45T-UD3LR DDR3 ATX,1933460,LGA 775,ATX,16,4,RGB,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_p45_ga_ep45t_ud3lr_ddr3_atx.png
Asus TUF GAMING A520M-PLUS WIFI AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,128,4,ĐEN / CAM,DDR4,PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_a520m_plus_wifi_am4_ddr4_micro_atx.png
Asus B365 ROG STRIX B365-F GAMING LGA1151 DDR4 ATX,9707869,LGA 1151,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b365_rog_strix_b365_f_gaming_lga1151_ddr4_atx.png
ASRock X79 Extreme7 LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,48,6,ĐEN / XÁM,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x79_extreme7_lga2011_ddr3_atx.png
MSI X470 GAMING PLUS AM4 DDR4 ATX,9905720,AM4,ATX,128,4,ĐỎ / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_x470_gaming_plus_am4_ddr4_atx.png
ASUS PRIME B760M-R D4-CSM,4858808,LGA 1700,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b760m_r_d4_csm.png
MSI MPG X870E CARBON MAX WIFI,6452944,AM5,ATX,256,4,RGB / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16; PCIe 5.0 x8,assets/images/motherboard_motherboard_msi_mpg_x870e_carbon_max_wifi.png
MSI B650 PRO B650M-A AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b650_pro_b650m_a_am5_ddr5_micro_atx.png
MSI MPG Z390M GAMING EDGE AC LGA 1151 (300 Series) Intel Z390 SATA 6Gb/s Micro ATX Intel Motherboard,6849437,LGA 1151,Micro ATX,128,4,,DDR4,PCIe 3.0 x4 and SATA 6Gb/s,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_msi_mpg_z390m_gaming_edge_ac_lga_1151_300_series_intel_z390_sata_6gb_s_micro_atx_intel_motherboard.png
Asus Z170 MAXIMUS VIII EXTREME LGA1151 WIFI DDR4 EATX,17124250,LGA 1151,EATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z170_maximus_viii_extreme_lga1151_wifi_ddr4_eatx.png
Gigabyte B450 M S2H DDR4 Micro ATX,2897687,AM4,Micro ATX,32,2,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b450_m_s2h_ddr4_micro_atx.png
MSI A320M-A PRO,2897950,AM4,Micro ATX,32,2,,DDR4,PCIe 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_msi_a320m_a_pro.png
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0) DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z370_aorus_gaming_wifi_rev_1_0_ddr4_atx.png
ASUS PRIME B460-PLUS LGA 1200 Intel B460 SATA 6Gb/s ATX Intel Motherboard,12592910,LGA 1200,ATX,128,4,,DDR4,PCIE 3.0 x4 & SATA; PCIE 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_prime_b460_plus_lga_1200_intel_b460_sata_6gb_s_atx_intel_motherboard.png
Asus H610 PRIME H610I-PLUS DDR5 Mini ITX,5870720,LGA 1700,Mini-ITX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h610_prime_h610i_plus_ddr5_mini_itx.png
MSI B560 M PRO-E DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b560_m_pro_e_ddr4_micro_atx.png
Asus Z390 PRIME Z390M-PLUS DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,128,4,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z390_prime_z390m_plus_ddr4_micro_atx.png
ASRock H510M HDV/M.2 SE DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_h510m_hdv_m_2_se_ddr4_micro_atx.png
MSI A520M MAG VECTOR WIFI AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_a520m_mag_vector_wifi_am4_ddr4_micro_atx.png
MSI Z590 MEG UNIFY-X DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z590_meg_unify_x_ddr4_atx.png
ASRock X79 Extreme6 LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,64,8,ĐEN / XÁM,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_x79_extreme6_lga2011_ddr3_atx.png
Asus H510 PRIME H510M-K DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h510_prime_h510m_k_ddr4_micro_atx.png
Asus Z690 PRIME Z690-P DDR5 ATX,8166687,LGA 1700,ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z690_prime_z690_p_ddr5_atx.png
MSI B760M MAG MORTAR MAX WIFI DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b760m_mag_mortar_max_wifi_ddr4_micro_atx.png
ASUS PRIME B650M-A AX6 II,5532187,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_b650m_a_ax6_ii.png
NZXT Z590 N7 LGA1200 DDR4 ATX,10537737,LGA 1200,ATX,128,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_nzxt_z590_n7_lga1200_ddr4_atx.png
Asus A620 PRIME A620AM-K-CSM AM5 DDR5 Micro ATX,5532187,AM5,Micro ATX,128,2,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_a620_prime_a620am_k_csm_am5_ddr5_micro_atx.png
MSI Z590 MPG GAMING FORCE DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z590_mpg_gaming_force_ddr4_atx.png
Gigabyte B840M D2H AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b840m_d2h_am5_ddr5_micro_atx.png
Gigabyte B760M GAMING WIFI DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b760m_gaming_wifi_ddr5_micro_atx.png
ASUS ROG STRIX Z490-G GAMING (WiFi 6),4097965,LGA 1200,Micro ATX,128,4,,DDR4,PCIE 3.0 x4; SATA & PCIE 3.0 x4,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_z490_g_gaming_wifi_6.png
Gigabyte B250 GA-B250M-Gaming 3 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b250_ga_b250m_gaming_3_ddr4_micro_atx.png
Asus H310 PRIME H310M-C/CSM DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h310_prime_h310m_c_csm_ddr4_micro_atx.png
ASRock B365M Pro4 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b365m_pro4_ddr4_micro_atx.png
Sapphire NITRO+ B850A WIFI 7,6309628,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_sapphire_nitro_b850a_wifi_7.png
Gigabyte B650 AORUS ELITE AX DDR5 ATX,6129691,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b650_aorus_elite_ax_ddr5_atx.png
ASUS PRIME B760M-F WIFI-CSM,4858808,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_prime_b760m_f_wifi_csm.png
Gigabyte GA-A320M-S2H Micro ATX AM4,2897687,AM4,Micro ATX,32,2,,DDR4,NVMe PCIe 3.0 x4 & SATA Mode,sata_6_gb_s,PCIe 3.0 x16,assets/images/motherboard_motherboard_gigabyte_ga_a320m_s2h_micro_atx_am4.png
Gigabyte Z690 AORUS ELITE AX (rev. 1.4) DDR5 ATX,6913982,LGA 1700,ATX,128,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z690_aorus_elite_ax_rev_1_4_ddr5_atx.png
Biostar B650 MT AM5 DDR5 Micro ATX,4572965,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_b650_mt_am5_ddr5_micro_atx.png
MSI B360M PRO-VD DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b360m_pro_vd_ddr4_micro_atx.png
Gigabyte Z170 GA-Z170MX-Gaming 5 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z170_ga_z170mx_gaming_5_ddr4_micro_atx.png
ASRock B460 M Pro4 LGA1200 DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b460_m_pro4_lga1200_ddr4_micro_atx.png
Gigabyte B850 GAMING X WIFI6E AM5 DDR5 ATX,6129691,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b850_gaming_x_wifi6e_am5_ddr5_atx.png
ASRock Z790 Nova WiFi DDR5 ATX,5327222,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z790_nova_wifi_ddr5_atx.png
Asus ROG STRIX Z890-E GAMING WIFI DDR5 ATX,8693587,LGA 1851,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_z890_e_gaming_wifi_ddr5_atx.png
Asus B150 PRO GAMING/AURA DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b150_pro_gaming_aura_ddr4_atx.png
EVGA Z790 CLASSIFIED LGA1700 DDR5 EATX,13725482,LGA 1700,EATX,128,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16; PCIe 4.0 x8,assets/images/motherboard_motherboard_evga_z790_classified_lga1700_ddr5_eatx.png
ROG STRIX X870-F GAMING WIFI,6309628,AM5,ATX,192,4,,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16; PCIe 4.0 x16,assets/images/motherboard_motherboard_rog_strix_x870_f_gaming_wifi.png
Asus PRIME Z690-P WIFI D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_prime_z690_p_wifi_d4_ddr4_atx.png
Gigabyte B860M H LGA1851 DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b860m_h_lga1851_ddr5_micro_atx.png
ASUS B850M-E AYW GAMING WIFI-CSM,5532187,AM5,Micro ATX,128,2,TRẮNG / ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b850m_e_ayw_gaming_wifi_csm.png
Biostar A320 MH DDR4 Micro ATX,2925612,AM4,Micro ATX,32,2,ĐEN / VÀNG,DDR4,,,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_a320_mh_ddr4_micro_atx.png
Gigabyte B760M AORUS ELITE LGA1700 DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b760m_aorus_elite_lga1700_ddr5_micro_atx.png
MSI B660M MAG BAZOOKA DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b660m_mag_bazooka_ddr4_micro_atx.png
Asus Z590 PRIME V DDR4 ATX,12592910,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z590_prime_v_ddr4_atx.png
Gigabyte Z890 AORUS MASTER AI TOP DDR5 EATX,21589464,LGA 1851,EATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z890_aorus_master_ai_top_ddr5_eatx.png
Asus AMD 760G M5A78L-M LX PLUS AM3+ DDR3 Micro ATX,6638413,AM3+,Micro ATX,16,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_amd_760g_m5a78l_m_lx_plus_am3_ddr3_micro_atx.png
Gigabyte H110M S2H DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h110m_s2h_ddr4_micro_atx.png
MSI Z790 GAMING WIFI DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z790_gaming_wifi_ddr5_atx.png
Gigabyte P45 GA-EP45-UD3L LGA775 DDR2 ATX,1933460,LGA 775,ATX,16,4,RGB,DDR2,,sata_3_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_p45_ga_ep45_ud3l_lga775_ddr2_atx.png
Gigabyte H370 HD3 LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_h370_hd3_lga1151_ddr4_atx.png
ASUS B850 MAX GAMING WIFI-CSM,6698216,AM5,ATX,256,4,ĐEN / XÁM / VÀNG,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_asus_b850_max_gaming_wifi_csm.png
Asus X570 TUF GAMING X570-PLUS DDR4 ATX,7093918,AM4,ATX,128,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_x570_tuf_gaming_x570_plus_ddr4_atx.png
MSI Z590 PRO WIFI LGA1200 DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z590_pro_wifi_lga1200_ddr4_atx.png
Gigabyte Z270 GA-Z270X-Gaming 7 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z270_ga_z270x_gaming_7_ddr4_atx.png
Gigabyte Z370 AORUS ULTRA GAMING WIFI DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z370_aorus_ultra_gaming_wifi_ddr4_atx.png
Asus Z790-I ROG STRIX GAMING WIFI LGA1700 DDR5 Mini ITX,5870720,LGA 1700,Mini-ITX,96,2,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z790_i_rog_strix_gaming_wifi_lga1700_ddr5_mini_itx.png
MSI MEG B550 UNIFY,9905720,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_meg_b550_unify.png
Gigabyte Z490I AORUS ULTRA DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z490i_aorus_ultra_ddr4_mini_itx.png
MSI A320M PRO-M2 V2 AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_a320m_pro_m2_v2_am4_ddr4_micro_atx.png
MSI Z170A KRAIT GAMING DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z170a_krait_gaming_ddr4_atx.png
Asus H370 TUF H370-Pro Gaming (WI-FI) DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h370_tuf_h370_pro_gaming_wi_fi_ddr4_atx.png
MSI B550M PRO,2897950,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b550m_pro.png
MSI Z590 MPG GAMING CARBON WIFI DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z590_mpg_gaming_carbon_wifi_ddr4_atx.png
MSI AMD 970 970A-G43 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_amd_970_970a_g43_am3_ddr3_atx.png
Gigabyte B660 DS3H LGA1700 DDR4 ATX,6913982,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b660_ds3h_lga1700_ddr4_atx.png
ASRock B650 M-H/M.2+ DDR5 Micro ATX,3937524,AM5,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b650_m_h_m_2_ddr5_micro_atx.png
Gigabyte B650M GAMING WIFI6E AM5 DDR5 ATX,6129691,AM5,ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b650m_gaming_wifi6e_am5_ddr5_atx.png
ASUS ROG STRIX B560-F GAMING WIFI DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_rog_strix_b560_f_gaming_wifi_ddr4_atx.png
Gigabyte B365 B365M DS3H LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b365_b365m_ds3h_lga1151_ddr4_micro_atx.png
Gigabyte Z890M AORUS ELITE WIFI7 DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z890m_aorus_elite_wifi7_ddr5_micro_atx.png
MSI PRO Z890-S WIFI,6059087,LGA 1851,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_msi_pro_z890_s_wifi.png
ASUS TUF GAMING B760-PLUS WIFI,4214937,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_tuf_gaming_b760_plus_wifi.png
ASRock Z390M Pro4 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_z390m_pro4_ddr4_micro_atx.png
Gigabyte C246 N-WU2 LGA1151 DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_c246_n_wu2_lga1151_ddr4_mini_itx.png
ASRock A520M Pro4 AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_a520m_pro4_am4_ddr4_micro_atx.png
Asus X79 Sabertooth DDR3 ATX,17602412,LGA 2011,ATX,64,8,NÂU / ĐEN,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_x79_sabertooth_ddr3_atx.png
MSI Z690 MAG TORPEDO LGA1700 DDR5 ATX,6306466,LGA 1700,ATX,192,4,XANH DƯƠNG / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z690_mag_torpedo_lga1700_ddr5_atx.png
