tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
Zotac GAMING Twin Fan GeForce RTX 2060 12GB GDDR6 Gray,10079760,GeForce RTX 2060,12.0,1470.0,1650.0,GREY,210.0,184.0
MSI GeForce RTX™ 4070 SUPER 12G VENTUS 2X OC GDDR6X,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,GREY,242.0,220.0
Inno3D Twin X2 OC GeForce RTX 4070 SUPER 12GB GDDR6X White / Silver,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,WHITE,250.0,220.0
Inno3D GeForce RTX 4070 SUPER Twin X2 OC 12GB GDDR6X Black / Silver,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,BLACK,250.0,220.0
Palit GeForce GTX 1080 GameRock 8GB GDDR5X Gray / Blue,11976000,GeForce GTX 1080,8.0,1645.0,1784.0,GREY,285.0,180.0
GALAX EX OC SNPR GeForce GTX 1080 8GB GDDR5X White,11976000,GeForce GTX 1080,8.0,1657.0,1797.0,WHITE,296.0,180.0
Gigabyte WINDFORCE OC GeForce GTX 1080 8GB GDDR5X Black / Orange,11976000,GeForce GTX 1080,8.0,1657.0,1797.0,BLACK,280.0,180.0
MSI Gaming X NV Edition GeForce RTX 4060 8GB GDDR6 Green / Black,10799760,GeForce RTX 4060,8.0,1830.0,2610.0,GREEN,247.0,115.0
Gigabyte GeForce RTX 4060 AERO OC 8G GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2550.0,WHITE,281.0,115.0
Gigabyte WINDFORCE OC GeForce RTX 4060 8G GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2475.0,BLACK,192.0,115.0
Gigabyte Vision OC GeForce RTX 3070 8GB GDDR6 Silver,16752000,GeForce RTX 3070,8.0,1500.0,1815.0,GREY,286.0,220.0
ZOTAC GAMING GeForce RTX 3070 Twin Edge OC White Edition LHR 8GB GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1755.0,WHITE,231.9,220.0
Gigabyte GeForce RTX 3070 GAMING OC 8G GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1815.0,BLACK,286.0,220.0
Asus ROG STRIX OC EVA-02 GeForce RTX 4090 24GB GDDR6X Red / Black,71903760,GeForce RTX 4090,24.0,2235.0,2640.0,RED,358.0,450.0
MSI VENTUS 3X E GeForce RTX 4090 24GB GDDR6X Silver / Black,71903760,GeForce RTX 4090,24.0,2235.0,2535.0,GREY,322.0,450.0
Gigabyte GeForce RTX 4090 AERO OC 24G GDDR6X,71903760,GeForce RTX 4090,24.0,2235.0,2535.0,WHITE,342.0,450.0
Gigabyte GAMING OC GeForce RTX 4090 24 GB,71903760,GeForce RTX 4090,24.0,2235.0,2535.0,BLACK,340.0,450.0
Sapphire NITRO+ Radeon RX 9070 XT 16GB GDDR6,17999760,Radeon RX 9070 XT,16.0,1660.0,3060.0,BROWN,331.0,330.0
Yeston Sakura Atlantis Radeon RX 9070 XT 16GB GDDR6 Blue / Pink,17999760,Radeon RX 9070 XT,16.0,2400.0,3060.0,BLUE,332.0,304.0
Sapphire PURE Radeon RX 9070 XT 16GB OC GDDR6,17999760,Radeon RX 9070 XT,16.0,1660.0,3010.0,WHITE,320.0,317.0
PowerColor Red Devil Limited Edition OC Radeon RX 9070 XT 16GB GDDR6 Black,17999760,Radeon RX 9070 XT,16.0,2460.0,3060.0,BLACK,340.0,304.0
Gigabyte GAMING OC GeForce RTX 2070 8GB GDDR6 White / Black,16440000,GeForce RTX 2070,8.0,1620.0,1740.0,WHITE,280.0,185.0
MSI VENTUS GP GeForce RTX 2070 8GB GDDR6 Silver / Black,16440000,GeForce RTX 2070,8.0,1410.0,1620.0,GREY,232.0,185.0
Gigabyte WINDFORCE 2X GeForce RTX 2070 8GB GDDR6 Black,16440000,GeForce RTX 2070,8.0,1410.0,1620.0,BLACK,265.0,185.0
MSI EVOKE Gold Radeon RX 5700 XT 8GB GDDR6,14280000,Radeon RX 5700 XT,8.0,1630.0,1905.0,GOLD,254.0,225.0
MSI Silver / Black Radeon RX 5700 XT 8GB GDDR6 Silver / Black,14280000,Radeon RX 5700 XT,8.0,1605.0,1905.0,GREY,270.0,225.0
PowerColor AXRX 5700XT 8GBD6-3DH Radeon RX 5700 XT 8GB GDDR6 Black,14280000,Radeon RX 5700 XT,8.0,1605.0,1905.0,BLACK,230.0,225.0
Asus Noctua OC GeForce RTX 4080 16GB GDDR6X Brown / Beige,44399760,GeForce RTX 4080,16.0,2205.0,2625.0,BROWN,310.0,320.0
MSI VENTUS 3X E GeForce RTX 4080 16GB GDDR6X Silver / Black,44399760,GeForce RTX 4080,16.0,2205.0,2520.0,GREY,322.0,320.0
MSI GAMING X TRIO GeForce RTX 4080 16GB GDDR6X White,44399760,GeForce RTX 4080,16.0,2205.0,2610.0,WHITE,337.0,320.0
MSI GAMING TRIO GeForce RTX 4080 16GB GDDR6X Black,44399760,GeForce RTX 4080,16.0,2205.0,2520.0,BLACK,337.0,320.0
ASUS ROG Astral GeForce RTX 5090 Dhahab OC Edition 32GB GDDR7,80639760,GeForce RTX 5090,32.0,2017.0,2580.0,GOLD,357.6,575.0
MSI GeForce RTX 5090 32G LIGHTNING Z,80639760,GeForce RTX 5090,32.0,2017.0,2730.0,RGB,260.0,1000.0
MSI GeForce RTX 5090 32G VANGUARD SOC GDDR7,80639760,GeForce RTX 5090,32.0,2017.0,2512.0,GREY,357.0,575.0
ROG Astral GeForce RTX 5090 32GB GDDR7 WHITE OC Edition,80639760,GeForce RTX 5090,32.0,2017.0,2580.0,WHITE,357.6,575.0
Asus Noctua OC GeForce RTX 4080 SUPER 16GB GDDR6X Brown / Black,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2640.0,BROWN,310.0,320.0
MSI SUPRIM X GeForce RTX 4080 SUPER 16GB GDDR6X Silver / Black,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2655.0,GREY,336.0,320.0
Gigabyte AORUS XTREME ICE GeForce RTX 4080 SUPER 16GB GDDR6X White / Gold,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2700.0,WHITE,357.0,320.0
Inno3D iChill X3 GeForce RTX 4080 SUPER 16GB GDDR6X Black / Silver,43175760,GeForce RTX 4080 SUPER,16.0,2210.0,2610.0,BLACK,334.0,320.0
Sapphire NITRO+ Radeon RX 580 8GB GDDR5 Blue / White,3839760,Radeon RX 580,8.0,1257.0,1430.0,BLUE,260.0,250.0
MSI ARMOR X Radeon RX 580 8GB GDDR5 Silver / Black,3839760,Radeon RX 580,8.0,1257.0,1366.0,GREY,270.0,185.0
MSI ARMOR MK2 OC Radeon RX 580 8GB GDDR5 Red / Black,3839760,Radeon RX 580,8.0,1340.0,1380.0,RED,270.0,185.0
MSI Radeon RX 580 GAMING X 8GB GDDR5 Black / Red,3839760,Radeon RX 580,8.0,1257.0,1393.0,BLACK,276.0,185.0
