tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
ASRock AMD Radeon RX 6600 Challenger 8GB GDDR6,5279760,Radeon RX 6600,8.0,1626.0,2491.0,WHITE,269.0,132.0
MSI ARMOR V1 Radeon RX 6600 8GB GDDR6 Black / Silver,5279760,Radeon RX 6600,8.0,1626.0,2491.0,BLACK,238.0,132.0
Sparkle Intel Arc B580 TITAN OC 12GB GDDR6,6959760,Arc B580,12.0,2670.0,2740.0,BLUE,315.0,200.0
ONIX LUMI Intel Arc B580 GDDR6 OC 12GB,6959760,Arc B580,12.0,2670.0,2740.0,WHITE,260.0,203.0
Intel Arc B580 Limited Edition 12GB GDDR6,6959760,Arc B580,12.0,2670.0,2670.0,BLACK,272.0,190.0
PowerColor Fighter Radeon RX 7600 XT 16GB GDDR6 Black,8639280,Radeon RX 7600 XT,16.0,1720.0,2755.0,BLACK,217.0,190.0
PowerColor Radeon RX 5500 XT AXRX 4GB GDDR6 Black,7176000,Radeon RX 5500 XT,4.0,1717.0,1845.0,BLACK,180.0,130.0
Asus GTX950-2G GeForce GTX 950 75W 2GB GDDR5 White / Blue,6120000,GeForce GTX 950,2.0,1026.0,1228.0,WHITE,210.0,75.0
EVGA Superclocked GeForce GTX 950 2GB GDDR5 Black,6120000,GeForce GTX 950,2.0,1152.0,1342.0,BLACK,173.0,90.0
Asus DUAL Radeon RX 480 4GB GDDR5 White / Black,9576000,Radeon RX 480,4.0,1120.0,1320.0,WHITE,242.0,150.0
MSI GAMING X Radeon RX 480 4GB GDDR5 Black / Red,9576000,Radeon RX 480,4.0,1120.0,1316.0,BLACK,276.0,150.0
EVGA GeForce GTX Titan X HYBRID 12GB GDDR5 Black / Silver,19176000,GeForce GTX Titan X,12.0,1152.0,1241.0,BLACK,267.0,250.0
Sparkle Arc A750 ROC Luna OC 8GB GDDR6 White,5976000,Arc A750,8.0,2050.0,2200.0,WHITE,281.0,225.0
Sparkle ROC OC Arc A750 8GB GDDR6 Black,5976000,Arc A750,8.0,2050.0,2200.0,BLACK,281.0,225.0
Sparkle TITAN OC Arc A750 8GB GDDR6 Blue / Black,5976000,Arc A750,8.0,2050.0,2300.0,BLUE,306.0,225.0
ASRock Intel Arc A380 Low Profile 6GB,3359760,Arc A380,6.0,2000.0,2050.0,BLACK,169.0,75.0
Sparkle GENIE Arc A380 6GB GDDR6 Blue,3359760,Arc A380,6.0,2000.0,2000.0,BLUE,145.0,75.0
SPARKLE Intel Arc B570 GUARDIAN OC 10GB GDDR6,6239760,Arc B570,10.0,2500.0,2660.0,BLUE,242.0,170.0
Acer Nitro Intel Arc B570 OC 10GB GDDR6,6239760,Arc B570,10.0,2500.0,2690.0,BLACK,272.0,150.0
ASRock Intel Arc A580 Challenger OC 8GB GDDR6,5422320,Arc A580,8.0,1700.0,2000.0,BLACK,271.0,175.0
Sparkle ORC OC Arc A580 8GB GDDR6 Blue / Black,5422320,Arc A580,8.0,1700.0,2000.0,BLUE,222.0,175.0
EVGA GeForce GTX Titan Black Superclocked 6GB GDDR5 Black / Silver,11976000,GeForce GTX Titan Black,6.0,967.0,1072.0,BLACK,266.0,250.0
EVGA Superclocked GeForce GTX Titan Z 12GB GDDR5 Black / Silver,21576000,GeForce GTX Titan Z,12.0,732.0,915.0,BLACK,267.0,375.0
MSI GAMING Radeon R9 390 8GB GDDR5 Black / Red,9336000,Radeon R9 390,8.0,1000.0,1060.0,BLACK,277.0,275.0
MSI N760-2GD5/OC GeForce GTX 760 2GB GDDR5 Black,6456000,GeForce GTX 760,2.0,1006.0,1072.0,BLACK,242.0,170.0
PNY RTX A4000 RTX A-Series RTX A4000 Black / Gold 16GB GDDR6,22656000,RTX A4000,16.0,735.0,1560.0,BLACK,241.0,140.0
PNY RTX A-Series RTX A5000 24GB GDDR6 Black,180392160,RTX A5000,24.0,1170.0,1695.0,BLACK,267.0,230.0
Sparkle ECO Arc A310 4GB GDDR6,3119760,Arc A310,4.0,2000.0,2000.0,BLUE,156.0,50.0
AMD 100-300000075 Radeon PRO W7800 32GB GDDR6 Black,57171360,Radeon PRO W7800,32.0,1855.0,2499.0,BLACK,280.0,260.0
AMD Radeon PRO W6400 Blue 4GB GDDR6 Blue,5174160,Radeon PRO W6400,4.0,2331.0,2331.0,BLUE,168.0,50.0
AMD Radeon PRO W6600 8GB GDDR6 Blue,7463760,Radeon PRO W6600,8.0,2331.0,2580.0,BLUE,241.0,120.0
AMD Radeon PRO W6800 32GB GDDR6 Blue / Gray,55199040,Radeon PRO W6800,32.0,2075.0,2320.0,BLUE,267.0,250.0
AMD Radeon PRO W7500 Black 8GB GDDR6,10296000,Radeon PRO W7500,8.0,1500.0,1700.0,BLACK,216.0,70.0
AMD Radeon PRO W7600 8GB GDDR6 Black,13895520,Radeon PRO W7600,8.0,1720.0,2440.0,BLACK,241.0,130.0
AMD Radeon PRO W7900 Professional Graphics 48GB GDDR6,87360000,Radeon PRO W7900,48.0,1855.0,2495.0,BLACK,280.0,295.0
AMD Vega Frontier Edition Vega Frontier Edition 16GB HBM2 Blue / Gold,27576000,Vega Frontier Edition,16.0,1440.0,1600.0,BLUE,267.0,300.0
ASRock AMD Radeon RX 6400 Challenger ITX 4GB GDDR6,5197440,Radeon RX 6400,4.0,1923.0,2321.0,BLACK,162.0,53.0
ATI FirePro W600 FirePro W600 2GB GDDR5 Black / Red,5639040,FirePro W600,2.0,600.0,600.0,BLACK,163.0,26.0
Asus GeForce GT 730 2 GB GDDR5,1919760,GeForce GT 730,2.0,902.0,902.0,BLACK,150.0,38.0
Asus R9290X-G Radeon R9 290X 4GB GDDR5 Black / Red,5040000,Radeon R9 290X,4.0,772.0,1000.0,BLACK,276.0,300.0
HP FirePro W7100 J3G93AT 8GB GDDR5 Black / Red,4559040,FirePro W7100,8.0,920.0,920.0,BLACK,241.0,150.0
MSI 2GD3 LP Radeon R7 240 2GB DDR3 Black / Silver,2993760,Radeon R7 240,2.0,730.0,780.0,BLACK,144.0,30.0
MSI TWIN FROZR Black / Red Radeon R9 270X 2GB GDDR5 Black / Red,7176000,Radeon R9 270X,2.0,1030.0,1120.0,BLACK,260.0,180.0
NVIDIA Quadro RTX 8000 48GB GDDR6,79127040,Quadro RTX 8000,48.0,1395.0,1770.0,BLACK,267.0,295.0
NVIDIA RTX A1000 8GB GDDR6 Black,11995920,RTX A1000,8.0,727.0,1462.0,BLACK,163.0,50.0
NVIDIA Titan V Titan V Black / Gold 12GB HBM2 Black / Gold,30000000,Titan V,12.0,1200.0,1455.0,BLACK,267.0,250.0
PNY NVIDIA Quadro P600 2GB GDDR5,1536960,Quadro P600,2.0,1329.0,1557.0,BLACK,150.0,40.0
PNY NVIDIA Quadro P620 2GB GDDR5,2185680,Quadro P620,2.0,1266.0,1354.0,BLACK,145.0,40.0
PNY NVIDIA RTX A6000 48GB GDDR6,119376000,RTX A6000,48.0,1410.0,1860.0,BLACK,267.0,300.0
PNY Quadro M2000 Quadro M2000 Black 4GB GDDR5 Black,2258640,Quadro M2000,4.0,872.0,1180.0,BLACK,168.0,75.0
PNY Quadro P2000 Black 5GB GDDR5 Black,4560000,Quadro P2000,5.0,1370.0,1470.0,BLACK,201.0,75.0
PNY Quadro P400 Quadro P400 2GB GDDR5 Black,2159760,Quadro P400,2.0,1070.0,1170.0,BLACK,145.0,30.0
PNY Quadro P4000 Quadro P4000 Black / Green 8GB GDDR5 Black / Green,7214640,Quadro P4000,8.0,1227.0,1480.0,BLACK,242.0,105.0
PNY Quadro RTX 5000 Silver / Black 16GB GDDR6 Silver / Black,17999040,Quadro RTX 5000,16.0,1620.0,1815.0,GREY,267.0,265.0
PNY Quadro RTX 6000 VCQRTX6000-PB 24GB GDDR6 Black / Silver,44280000,Quadro RTX 6000,24.0,1440.0,1770.0,BLACK,267.0,295.0
PNY RTX A-Series RTX A4500 20GB GDDR6 Black,41520000,RTX A4500,20.0,1050.0,1650.0,BLACK,267.0,200.0
PNY T600 T-Series 4GB GDDR6 Black / Gray,7176000,T600,4.0,735.0,1335.0,BLACK,156.0,40.0
PNY VCQK1200DP-PB Quadro K1200 4GB GDDR5 Black / Green,3312240,Quadro K1200,4.0,1058.0,1124.0,BLACK,160.0,45.0
PNY VCQP1000-PB Quadro P1000 4GB GDDR5 Black,2568000,Quadro P1000,4.0,1354.0,1455.0,BLACK,145.0,47.0
PNY VCQRTX4000-PB Quadro RTX 4000 8GB GDDR6 Silver / Black,8399040,Quadro RTX 4000,8.0,1005.0,1545.0,GREY,267.0,160.0
AMD Radeon RX 7900 XT Black 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,300.0
ASRock AMD Radeon RX 7900 XT Phantom Gaming 20GB OC GDDR6,23924880,Radeon RX 7900 XT,20.0,1567.0,2450.0,BLACK,330.0,300.0
ASRock Creator Radeon RX 7900 XT 20GB GDDR6 Black / Silver,23924880,Radeon RX 7900 XT,20.0,2000.0,2395.0,BLACK,312.0,300.0
ASRock Intel Arc B570 Challenger 10GB GDDR6 OC,6239760,Arc B570,10.0,2500.0,2600.0,BLACK,249.0,150.0
ASRock Radeon RX 7900 XT Black 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,300.0
ASRock Radeon RX 7900 XT Phantom Gaming OC 20GB GDDR6 White,23924880,Radeon RX 7900 XT,20.0,1387.0,2450.0,WHITE,330.0,300.0
ASRock Taichi OC Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2560.0,BLACK,345.0,300.0
ASUS TUF Gaming Radeon RX 7900 XT OC Edition 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1687.0,2500.0,BLACK,353.0,300.0
Asus DUAL GeForce RTX 2080 Ti 11GB GDDR6 Black / White,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1560.0,BLACK,268.0,250.0
Asus DUAL OC Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2535.0,BLACK,323.0,300.0
Asus STRIX GAMING GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1560.0,BLACK,305.0,250.0
Asus rx7900xt-20g Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,300.0
EVGA Black / Clear GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,270.0,250.0
EVGA FTW3 ULTRA GAMING GeForce RTX 2080 Ti 11GB GDDR6 Clear / Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1755.0,BLACK,302.0,250.0
EVGA FTW3 ULTRA HYBRID GAMING GeForce RTX 2080 Ti 11GB GDDR6 Black / Clear,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1755.0,BLACK,291.0,250.0
EVGA XC GAMING GeForce RTX 2080 Ti 11GB GDDR6 Black / Clear,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,BLACK,270.0,250.0
EVGA XC HYBRID GAMING GeForce RTX 2080 Ti 11GB GDDR6 Black / Clear,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,BLACK,269.0,250.0
EVGA XC ULTRA GAMING GeForce RTX 2080 Ti 11GB GDDR6 Black / Clear,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1650.0,BLACK,270.0,250.0
EVGA XC2 ULTRA GAMING GeForce RTX 2080 Ti 11GB GDDR6 Clear / Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1650.0,BLACK,270.0,250.0
Gigabyte AORUS GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1545.0,1695.0,BLACK,290.0,250.0
Gigabyte AORUS XTREME GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1770.0,BLACK,290.0,250.0
Gigabyte GAMING OC Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2535.0,BLACK,331.0,300.0
Gigabyte GV-R79XT-20GC-B Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,300.0
Gigabyte GeForce RTX 2080 Ti AORUS XTREME WATERFORCE 11GB GDDR6 Black / Silver,21096000,GeForce RTX 2080 Ti,11.0,1545.0,1770.0,BLACK,290.0,250.0
Gigabyte TURBO GeForce RTX 2080 Ti 11GB GDDR6 Black / Silver,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,272.0,250.0
MSI AERO GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,268.0,250.0
MSI GAMING TRIO GeForce RTX 2080 Ti 11GB GDDR6 Black / Silver,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,BLACK,327.0,250.0
MSI GeForce RTX 2080 Ti VENTUS 11G OC GDDR6,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,BLACK,268.0,260.0
MSI LIGHTNING Z GeForce RTX 2080 Ti 11GB GDDR6 Black / Gold,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1770.0,BLACK,328.0,300.0
MSI SEA HAWK X GeForce RTX 2080 Ti 11GB GDDR6 Black / Silver,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1755.0,BLACK,268.0,250.0
PNY Blower GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,267.0,250.0
PNY GeForce RTX 2080 Ti 11GB XLR8 Gaming Overclocked Edition GDDR6,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,BLACK,314.0,260.0
PNY GeForce RTX 2080 Ti Blower 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,269.0,250.0
Palit GamingPro OC GeForce RTX 2080 Ti 11GB GDDR6 Black / Gold,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1650.0,BLACK,292.0,260.0
PowerColor AMD Radeon RX 7900 XT 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,300.0
PowerColor Hellhound AMD Radeon RX 7900 XT 20GB OC GDDR6,23924880,Radeon RX 7900 XT,20.0,1687.0,2500.0,BLACK,320.0,300.0
PowerColor Red Devil Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2535.0,BLACK,338.0,300.0
Sapphire AMD Radeon RX 7900 XT 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1387.0,2400.0,BLACK,276.0,300.0
Sapphire PULSE AMD Radeon RX 7900 XT 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1567.0,2450.0,BLACK,313.0,331.0
Sapphire Radeon RX 7900 XT Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,308.0
XFX RX-79TMBABF9 Radeon RX 7900 XT 20GB GDDR6 Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,276.0,300.0
XFX Radeon RX 7900 XT Gaming 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1387.0,2400.0,BLACK,276.0,300.0
XFX SPEEDSTER MERC 310 AMD Radeon RX 7900 XT 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1775.0,2535.0,BLACK,344.0,300.0
XFX SPEEDSTER MERC 310 AMD Radeon RX 7900 XT Black Edition 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1810.0,2560.0,BLACK,344.0,300.0
XFX Speedster MERC 310 AMD Radeon RX 7900 XT White Edition 20GB GDDR6,23924880,Radeon RX 7900 XT,20.0,1775.0,2535.0,WHITE,344.0,300.0
Zotac AMP Extreme GeForce RTX 2080 Ti 11GB GDDR6 Black / Silver,21096000,GeForce RTX 2080 Ti,11.0,1545.0,1815.0,BLACK,324.0,250.0
Zotac GAMING AMP GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1665.0,BLACK,308.0,250.0
Zotac GAMING Triple Fan GeForce RTX 2080 Ti 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,308.0,250.0
Zotac GeForce RTX 2080 Ti Blower 11GB GDDR6 Black / Silver,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,268.0,250.0
Zotac GeForce RTX 2080 Ti Twin 11GB GDDR6 Black,21096000,GeForce RTX 2080 Ti,11.0,1350.0,1545.0,BLACK,268.0,250.0
AMD 100-300000069 Radeon RX 7900 XTX 24GB GDDR6X Black,21599760,Radeon RX 7900 XTX,24.0,2300.0,2500.0,BLACK,287.0,355.0
AMD Midnight Black Radeon RX 6800 XT 16GB GDDR6 Black,17256000,Radeon RX 6800 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0
AMD Radeon RX 5700 XT 50th Anniversary 8GB GDDR6 Gold / Black,14280000,Radeon RX 5700 XT,8.0,1680.0,1980.0,GOLD,272.0,235.0
AMD Radeon RX 6800 XT Black / Silver 16GB GDDR6,17256000,Radeon RX 6800 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0
AMD Radeon RX 6900 XT 16GB GDDR6 Black / Silver,18479760,Radeon RX 6900 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0
AMD Radeon RX 7600 8GB GDDR6 Black,6599760,Radeon RX 7600,8.0,1720.0,2655.0,BLACK,204.0,165.0
AORUS GeForce RTX 3070 MASTER 8G (Rev. 1.0/1.1) GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1845.0,BLACK,290.0,220.0
ASROCK AMD Radeon RX 7700 XT Challenger 12GB OC,9599280,Radeon RX 7700 XT,12.0,1603.0,2584.0,BLACK,267.0,245.0
ASRock AMD Radeon RX 6600 XT Challenger D 8GB OC GDDR6,15552000,Radeon RX 6600 XT,8.0,2000.0,2593.0,BLACK,269.0,160.0
ASRock AMD Radeon RX 7600 Challenger 8GB OC GDDR6,6599760,Radeon RX 7600,8.0,1772.0,2695.0,BLACK,269.2,165.0
ASRock AMD Radeon RX 7700 XT Challenger 12GB OC GDDR6,9599280,Radeon RX 7700 XT,12.0,1603.0,2584.0,BLACK,267.0,245.0
ASRock AMD Radeon RX 7800 XT Challenger 16GB OC GDDR6,14399760,Radeon RX 7800 XT,16.0,1397.0,2475.0,BLACK,267.0,263.0
ASRock CLI Radeon RX 6500 XT 4GB GDDR6 Black,3839760,Radeon RX 6500 XT,4.0,2310.0,2815.0,BLACK,179.0,107.0
ASRock Challenger D OC Radeon RX 5500 XT 4GB GDDR6 Black / Yellow,7176000,Radeon RX 5500 XT,4.0,1685.0,1845.0,BLACK,241.0,130.0
ASRock Challenger D OC Radeon RX 5700 XT 8GB GDDR6 Black / Yellow,14280000,Radeon RX 5700 XT,8.0,1650.0,1905.0,BLACK,281.0,225.0
ASRock Challenger D Radeon RX 6600 8 GB,5279760,Radeon RX 6600,8.0,1626.0,2491.0,BLACK,269.0,132.0
ASRock Challenger ITX Radeon RX 6600 8GB GDDR6 Black,5279760,Radeon RX 6600,8.0,1626.0,2491.0,BLACK,179.0,132.0
ASRock Challenger OC Arc B580 12GB GDDR6,6959760,Arc B580,12.0,2670.0,2740.0,BLACK,249.0,190.0
ASRock Challenger OC Radeon RX 7900 GRE 16GB GDDR6 Black,16079760,Radeon RX 7900 GRE,16.0,1270.0,2293.0,BLACK,269.0,260.0
ASRock Challenger Pro OC Radeon RX 5700 XT 8GB GDDR6 Black / Gray,14280000,Radeon RX 5700 XT,8.0,1580.0,1905.0,BLACK,291.0,225.0
ASRock Creator Radeon RX 7900 XTX 24GB GDDR6 Black / Silver,21599760,Radeon RX 7900 XTX,24.0,2300.0,2500.0,BLACK,312.0,355.0
ASRock Intel Arc A380 Challenger ITX 6GB GDDR6 OC,3359760,Arc A380,6.0,2250.0,2250.0,BLACK,190.0,75.0
ASRock Intel Arc B580 Challenger 12GB OC GDDR6,6959760,Arc B580,12.0,2670.0,2740.0,BLACK,249.0,190.0
ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 Silver / Black,18479760,Radeon RX 6900 XT,16.0,2125.0,2475.0,GREY,332.0,300.0
ASRock Phantom Gaming D OC Radeon RX 5700 XT 8GB GDDR6 Black / Red,14280000,Radeon RX 5700 XT,8.0,1690.0,1945.0,BLACK,287.0,225.0
ASRock Phantom Gaming D OC Radeon RX 6500 XT 4GB GDDR6,3839760,Radeon RX 6500 XT,4.0,2365.0,2820.0,BLACK,240.0,107.0
ASRock Phantom Gaming D OC Radeon RX 6900 XT 16GB GDDR6 Black / Silver,18479760,Radeon RX 6900 XT,16.0,1925.0,2340.0,BLACK,330.0,300.0
ASRock Phantom Gaming D Radeon RX 570 4GB GDDR5 Black,7176000,Radeon RX 570,4.0,1168.0,1244.0,BLACK,236.0,150.0
ASRock Phantom Gaming OC Radeon RX 6800 XT 16GB GDDR6 Black / Red,17256000,Radeon RX 6800 XT,16.0,1875.0,2310.0,BLACK,330.0,300.0
ASRock Phantom Gaming OC Radeon RX 7700 XT 12GB GDDR6 Black,9599280,Radeon RX 7700 XT,12.0,1700.0,2599.0,BLACK,328.0,245.0
ASRock Phantom Gaming OC Radeon RX 7800 XT 16GB GDDR6 Black,14399760,Radeon RX 7800 XT,16.0,1295.0,2565.0,BLACK,328.0,263.0
ASRock Phantom Gaming OC Radeon RX 7900 XTX 24GB GDDR6,21599760,Radeon RX 7900 XTX,24.0,2075.0,2615.0,BLACK,330.0,355.0
ASRock Phantom Gaming Radeon RX 6500 XT 8GB GDDR6,5862240,Radeon RX 6500 XT,8.0,2420.0,2825.0,BLACK,240.0,107.0
ASRock Radeon RX 5700 XT Taichi X OC+ 8GB GDDR6 Black / Gold,14280000,Radeon RX 5700 XT,8.0,1810.0,2025.0,BLACK,324.0,225.0
ASRock Radeon RX 6800 XT Black / Silver 16GB GDDR6,17256000,Radeon RX 6800 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0
ASRock Radeon RX 6900 XT Black / Silver 16GB GDDR6,18479760,Radeon RX 6900 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0
ASRock Radeon RX 7600 Phantom Gaming OC 8GB GDDR6 Black,6599760,Radeon RX 7600,8.0,1720.0,2755.0,BLACK,305.0,165.0
ASRock Radeon RX 7600 XT Challenger OC 16GB GDDR6 Black,8639280,Radeon RX 7600 XT,16.0,1720.0,2799.0,BLACK,267.0,190.0
ASRock Radeon RX 7800 XT Steel Legend OC 16GB GDDR6 White,14399760,Radeon RX 7800 XT,16.0,1295.0,2520.0,WHITE,304.0,263.0
ASRock Radeon RX 7900 XTX 24GB GDDR6 Black,21599760,Radeon RX 7900 XTX,24.0,2300.0,2500.0,BLACK,287.0,355.0
ASRock Silver Radeon RX 5700 XT 8GB GDDR6,14280000,Radeon RX 5700 XT,8.0,1605.0,1905.0,GREY,285.0,225.0
ASRock Steel Legend OC Arc B580 12GB GDDR6,6959760,Arc B580,12.0,2670.0,2800.0,WHITE,298.0,190.0
ASRock Steel Legend OC Radeon RX 7600 8GB GDDR6,6599760,Radeon RX 7600,8.0,1720.0,2725.0,WHITE,303.0,165.0
ASRock Steel Legend OC Radeon RX 7700 XT 12GB GDDR6 White,9599280,Radeon RX 7700 XT,12.0,1700.0,2599.0,WHITE,304.0,245.0
ASRock Steel Legend OC Radeon RX 7900 GRE 16GB GDDR6 White,16079760,Radeon RX 7900 GRE,16.0,1270.0,2333.0,WHITE,304.0,260.0
ASRock Taichi OC Radeon RX 7900 XTX 24GB GDDR6 Black,21599760,Radeon RX 7900 XTX,24.0,2300.0,2680.0,BLACK,345.0,355.0
ASRock Taichi OC Radeon RX 7900 XTX 24GB GDDR6 White,21599760,Radeon RX 7900 XTX,24.0,2300.0,2680.0,WHITE,345.0,355.0
ASUS Dual GeForce RTX 4060 EVO OC Edition 8GB GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2505.0,BLACK,227.2,115.0
ASUS Dual GeForce RTX 4060 V2 OC Edition 8GB GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2505.0,BLACK,202.0,115.0
ASUS Dual GeForce RTX 4060 White OC Edition 8GB GDDR6,10799760,GeForce RTX 4060,8.0,1830.0,2505.0,WHITE,227.2,115.0
ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2520.0,BLACK,227.2,220.0
ASUS Dual GeForce RTX 4070 SUPER EVO White Edition 12GB GDDR6X,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2475.0,BLACK,227.2,220.0
ASUS Dual GeForce RTX 4070 SUPER EVO White OC Edition 12GB GDDR6X,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2520.0,WHITE,227.2,220.0
ASUS Dual GeForce RTX 5050 8GB GDDR6,5999760,GeForce RTX 5050,8.0,2317.0,2572.0,BLACK,203.0,130.0
ASUS Dual GeForce RTX 5050 8GB GDDR6 OC Edition,5999760,GeForce RTX 5050,8.0,2317.0,2647.0,BLACK,203.0,130.0
ASUS Dual Radeon RX 7600 V2 OC Edition 8GB GDDR6,6599760,Radeon RX 7600,8.0,1772.0,2695.0,BLACK,205.0,165.0
ASUS Dual Radeon RX 7700 XT OC Edition 12GB GDDR6,9599280,Radeon RX 7700 XT,12.0,1603.0,2584.0,BLACK,279.9,245.0
ASUS GeForce GT 1030 2GB GDDR5,2557440,GeForce GT 1030,2.0,1228.0,1468.0,BLACK,145.0,30.0
ASUS PRIME GeForce RTX 4070 SUPER 12GB GDDR6X OC Edition,20302320,GeForce RTX 4070 SUPER,12.0,1980.0,2520.0,BLACK,269.0,220.0
ASUS Prime GeForce RTX 5050 8GB GDDR6 OC Edition,5999760,GeForce RTX 5050,8.0,2317.0,2677.0,BLACK,268.3,130.0
ASUS ROG Astral GeForce RTX 5090 32GB GDDR7,80639760,GeForce RTX 5090,32.0,2017.0,2437.0,BLACK,357.6,575.0
ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 WHITE OC Edition,80639760,GeForce RTX 5090,32.0,2017.0,2580.0,WHITE,357.6,575.0
ASUS ROG STRIX GeForce GTX 1080 GAMING 8GB GDDR5X,11976000,GeForce GTX 1080,8.0,1607.0,1898.0,BLACK,298.0,180.0
ASUS ROG Strix GeForce RTX 3070 OC 8GB GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1905.0,BLACK,319.0,220.0
ASUS ROG Strix GeForce RTX 3070 Ti OC Edition 8GB GDDR6X,18360000,GeForce RTX 3070 Ti,8.0,1575.0,1845.0,BLACK,318.5,290.0
ASUS TUF Gaming GeForce GTX 1660 SUPER OC Edition 6GB GDDR6,8136000,GeForce GTX 1660 SUPER,6.0,1530.0,1815.0,BLACK,206.0,125.0
ASUS TUF Gaming GeForce RTX 3060 Ti OC Edition 8GB GDDR6,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1755.0,BLACK,301.0,220.0
ASUS TUF Gaming GeForce RTX 3060 Ti V2 OC Edition 8GB GDDR6 LHR,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1755.0,BLACK,301.0,220.0
ASUS TUF Gaming GeForce RTX 3070 OC Edition 8GB GDDR6,16752000,GeForce RTX 3070,8.0,1500.0,1815.0,GREY,299.9,220.0
